               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.035447,            0.023292,            0.005277,             0.87389,             0.77477,             0.89537,             0.60821,            0.018602,            0.011988,           0.0016708,             0.00307,             0.00307,             0.00307
                  37,            0.032875,            0.024882,            0.004497,             0.83461,             0.85501,             0.91155,              0.6028,            0.017748,            0.011704,           0.0012789,            0.002872,            0.002872,            0.002872
                  38,            0.033565,            0.022838,           0.0053999,             0.81649,             0.83594,             0.89091,               0.611,            0.016608,            0.011888,            0.001371,            0.002674,            0.002674,            0.002674
                  39,            0.029674,            0.021485,           0.0040931,             0.84878,              0.8302,             0.89607,             0.58441,            0.016703,            0.012049,           0.0013447,            0.002476,            0.002476,            0.002476
                  40,            0.031061,            0.022261,           0.0056208,             0.87516,              0.7707,             0.89901,             0.60836,            0.019031,            0.011788,            0.001272,            0.002278,            0.002278,            0.002278
                  41,            0.031249,            0.022704,           0.0069693,              0.8229,             0.83896,             0.92797,             0.60597,            0.018505,            0.011588,           0.0011001,             0.00208,             0.00208,             0.00208
                  42,            0.031208,            0.021307,           0.0066588,              0.8441,             0.87293,             0.92757,             0.63681,            0.015759,            0.011454,           0.0010494,            0.001882,            0.001882,            0.001882
                  43,            0.030727,            0.022025,           0.0047638,             0.90815,             0.81235,             0.92728,             0.63576,             0.01579,            0.011457,            0.001062,            0.001684,            0.001684,            0.001684
                  44,             0.03071,            0.021417,            0.004355,             0.92611,               0.785,             0.92526,             0.62532,            0.015642,            0.011538,           0.0010417,            0.001486,            0.001486,            0.001486
                  45,            0.029724,            0.022068,           0.0050692,             0.78583,             0.90309,             0.92645,             0.63478,            0.015573,            0.011418,           0.0010022,            0.001288,            0.001288,            0.001288
                  46,            0.031759,            0.021115,           0.0043034,             0.79786,             0.92888,             0.93481,             0.63179,            0.015556,            0.011458,           0.0010317,             0.00109,             0.00109,             0.00109
                  47,            0.028316,            0.023404,           0.0030981,             0.82665,             0.92304,              0.9379,              0.6529,            0.014701,            0.011348,           0.0010503,            0.000892,            0.000892,            0.000892
                  48,            0.027723,            0.019989,           0.0053465,             0.81659,             0.93202,             0.93719,             0.64101,            0.014976,            0.011313,           0.0010509,            0.000694,            0.000694,            0.000694
                  49,            0.028711,            0.022245,           0.0029177,             0.81031,             0.92478,             0.93853,               0.655,            0.014618,            0.011272,           0.0010297,            0.000496,            0.000496,            0.000496
