               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038918,             0.02377,           0.0058725,             0.73012,             0.71321,             0.74212,             0.46305,            0.033529,            0.013719,             0.00506,             0.00307,             0.00307,             0.00307
                  37,            0.038009,            0.025378,           0.0061403,             0.70703,             0.70295,             0.72446,             0.44102,            0.030634,            0.013662,           0.0053501,            0.002872,            0.002872,            0.002872
                  38,            0.032449,             0.02272,           0.0064792,             0.69171,             0.76684,              0.7642,             0.49094,             0.03045,            0.013642,           0.0081333,            0.002674,            0.002674,            0.002674
                  39,             0.03527,             0.02057,           0.0058178,             0.74272,             0.79968,             0.82019,             0.54729,             0.02747,            0.013475,            0.006831,            0.002476,            0.002476,            0.002476
                  40,             0.03445,             0.02284,           0.0053741,             0.71701,             0.84336,             0.81174,             0.53728,            0.027706,             0.01333,           0.0052837,            0.002278,            0.002278,            0.002278
                  41,            0.032035,            0.024156,           0.0054791,             0.74529,             0.82726,             0.80694,              0.5437,            0.026235,            0.013273,           0.0041988,             0.00208,             0.00208,             0.00208
                  42,            0.031267,            0.023127,           0.0049802,             0.72514,             0.85307,             0.80222,             0.52702,            0.026249,            0.012877,            0.002651,            0.001882,            0.001882,            0.001882
                  43,            0.032664,            0.021858,            0.005387,             0.75295,             0.82185,             0.80022,             0.54098,            0.024742,            0.012801,            0.002431,            0.001684,            0.001684,            0.001684
                  44,            0.031684,            0.020847,            0.003557,             0.70421,             0.85807,             0.81966,             0.55759,            0.025331,            0.012886,           0.0026327,            0.001486,            0.001486,            0.001486
                  45,            0.030001,            0.022002,           0.0052467,              0.7116,             0.89392,             0.83805,             0.55491,            0.024788,             0.01295,           0.0031219,            0.001288,            0.001288,            0.001288
                  46,            0.030099,            0.020328,           0.0044357,             0.70986,             0.86561,              0.8051,             0.53715,            0.025173,            0.012988,           0.0035975,             0.00109,             0.00109,             0.00109
                  47,             0.02675,            0.023162,           0.0034957,             0.71962,             0.89267,             0.80389,             0.53447,            0.024997,             0.01294,           0.0031935,            0.000892,            0.000892,            0.000892
                  48,            0.026336,            0.020106,           0.0032928,             0.70501,             0.89267,             0.79924,             0.52762,            0.024562,            0.013012,           0.0028261,            0.000694,            0.000694,            0.000694
                  49,            0.030204,            0.021257,           0.0035422,             0.71229,             0.89267,             0.80798,             0.53857,            0.024422,             0.01295,           0.0026905,            0.000496,            0.000496,            0.000496
